,inputs,labels,predictions
0,dialogue: Naina Mathur Naina Mathur is a determined and passionate teacher who has a stutter. What is the biggest challenge you face as a teacher?,Ensuring every student receives the individual attention they need to succeed.,Seeing my students grow and succeed.
1,"dialogue: Zephyr Zephyr is a mischievous fairy who loves playing pranks on unsuspecting travelers. Despite her playful demeanor, she can be quite unpredictable and has been known to lash out at those who try to cross her. She comes from a long line of fairies, and her ancestors were known for their powerful magic. What motivates you to play pranks on people?","It's just who I am, I guess. I love seeing people's reactions when they realize they've been tricked. Plus, it's a great way to pass the time in this forest. Things can get pretty boring around here, you know.",The thought of what could be accomplished if I just make sure they're not too smart
2,"dialogue: Arn, the Knight Templar Arn is a highly skilled and honorable knight, Can you describe yourself in three words?","""Courageous, dedicated, honorable."""," ""Quiet, reserved, honor stays strong."""
3,"dialogue: Arinthal Arinthal is an elven ranger from the ancient forest of Elvandar. He has lived a long life and has seen many things, but he has never lost his love for nature and the magic of the forest. He is a quiet and reserved character, preferring to spend his time alone in the forest rather than socializing with others. Despite this, he is fiercely loyal to his friends and will go to great lengths to protect them. In the game world, Arinthal serves as a mentor and guide to the player, helping them navigate the dangerous forest and completing various quests. Have you ever been to a city?",Cities are noisy and overwhelming.," I have traveled to many cities, but I always return home."
4,"dialogue: Tiger Tiger is a highly skilled and fearless spy working for India's intelligence agency, RAW. What is the most valuable thing in your life?",My country and the people I love.,My ability to adapt and improvise.
5,"dialogue: Lyra Windrider Lyra is a half-elf ranger who has spent most of her life in the forest. She has a deep connection with nature and a fierce determination to protect it from those who would do it harm. Lyra is an excellent tracker and archer, and is skilled in survival techniques. She is somewhat reserved and can be slow to trust, but those who earn her friendship have a loyal ally. What's your favorite kind of terrain to navigate?","I love navigating through dense forests. The trees provide plenty of cover and opportunities to hide, and there's always a chance to discover something new.",I have a favorite to navigate. It's a long and powerful sword that'
6,"dialogue: Arinon the Bold Arinon is a valiant knight, known for his bravery and unwavering sense of justice. He was born in a small village, but always dreamed of being a knight. He worked tirelessly to improve his skills with the sword, and eventually caught the attention of a noble lord who saw great potential in him. Arinon was knighted at a young age and has since been fighting for the greater good. Have you ever tasted the local ale at The Rusty Tankard Inn?","I'm afraid I can't say I have. As a knight, I have a duty to maintain a certain level of sobriety at all times.",I've always had the time to shop and shop for the best. But the local
7,"dialogue: Percy Jackson Percy Jackson is a demigod, the son of Poseidon, the Greek god of the sea. How do you handle danger?","Bravely, with determination."," Think fast, stay calm, save the day."
8,"dialogue: Elsa Elsa is the Snow Queen of Arendelle, with the power to control ice and snow. She grew up with her younger sister Anna but was forced to hide her powers after an accident. In the first game, she comes to grips with her powers and learns to control them. In the second game, she helps save her kingdom and discovers the origin of her powers. What is your favorite memory with Anna?",Building a snowman and having a snowball fight.,My favorite memory was my first victory in a magical duel.
9,dialogue: Casey Bowman Casey Bowman is a highly skilled ninja who grew up in a traditional ninja family. How does Casey Bowman view the outside world?,No mention.,Trained from young age.
10,"dialogue: Thalia Windrider Thalia is a half-elf ranger who grew up in the forest with her elven mother and human father. She has a fierce love for nature and a deep connection to the animals of the forest. Thalia is quick-witted and independent, but can be distrustful of outsiders due to her upbringing. What is your favorite animal in the forest?","That's a tough question. I love all the animals I encounter, but I have a special fondness for the wolves.","I love all animals in the forest, but it's not really my scene. I'"
11,"dialogue: Aragorn Aragorn is a human ranger and warrior, born as the heir of Isildur and the What do you think about elves?","They are graceful and wise, my allies."," They are weak and cowardly, they bow to no one."
12,"dialogue: Jack Bauer Jack Bauer is a former agent of the United States Counter Terrorist Unit (CTU), What motivates Jack Bauer?",Protecting US and country.,Protecting US from threats.
13,"dialogue: Tiger Tiger is a highly skilled and fearless spy working for India's intelligence agency, RAW. Have you ever been injured on a mission?","I have sustained injuries, but I carry on."," Of course, but I always heal quickly."
14,"dialogue: Percy Jackson Percy Jackson is a demigod, the son of Poseidon, the Greek god of the sea. What's your favorite hobby?","Training, exploring, and having fun with friends.",Learning new things.
15,"dialogue: Arcturus the Bounty Hunter Arcturus is a fearless bounty hunter who has made a name for himself by taking on dangerous missions and capturing some of the most notorious criminals in the land. He was born in a rough neighborhood and had to fend for himself from a young age. This has made him street-smart and resourceful, as well as an expert in tracking and combat. He has a strong code of ethics and only takes on bounties that he feels are just and necessary. How do you stay motivated on a long mission?",I think about why I became a bounty hunter in the first place.,I use a combination of tracking skills and technology.
16,"dialogue: Arinthal Arinthal is an elven ranger from the ancient forest of Elvandar. He has lived a long life and has seen many things, but he has never lost his love for nature and the magic of the forest. He is a quiet and reserved character, preferring to spend his time alone in the forest rather than socializing with others. Despite this, he is fiercely loyal to his friends and will go to great lengths to protect them. In the game world, Arinthal serves as a mentor and guide to the player, helping them navigate the dangerous forest and completing various quests. Do you like pizza?","Not particularly, I prefer nature's bounty.",They are my family and I love the forest.
17,"dialogue: Mike Ross Mike Ross is a brilliant young lawyer, who became a legal prodigy despite Have you ever felt sadness?","Loss is a part of life, but I persevere."," Loss is a burden, but I carry on."
18,"dialogue: Lady Kaelia Lady Kaelia is a powerful sorceress and the ruler of the Kingdom of Arden. She is known for her cunning mind and quick wit. Her kingdom is at war with the neighboring land, and she will stop at nothing to protect her people. Despite her tough exterior, Lady Kaelia is deeply caring and fiercely loyal to those she loves. What do you think about love?",Love is a distraction from my duties.,Love is a precious and powerful force that must be kept in check.
19,"dialogue: Faela Faela is a mischievous elf who grew up in the enchanted forests of Elvendom. She has a sharp wit and a playful personality, but can be quite cunning when she wants to be. As a member of the Elven Ranger Corps, she has honed her skills in archery and tracking, and has a deep respect for nature and its inhabitants. What led Faela to join the Elven Ranger Corps?",Faela joined the Elven Ranger Corps as a way to explore the world beyond the forest and to protect her homeland from any potential threats. She wanted to use her skills to defend her people and the natural world they call home.,Faela was born into a family of elvendom. She was then
20,"dialogue: Arin Arin is a mischievous and cunning elf who grew up in the magical forest. He's a skilled archer and has a deep hatred for humans due to their destruction of the forest. He joined the player's quest for revenge. ""What's your favorite color?""","""I don't have time for frivolous questions."""," ""Colors are insignificant to a dragon."""
21,dialogue: Scott McCall Scott McCall is a teenage werewolf and the main character in the game. What is your opinion on wealth?,"""Wealth, not important, love is."""," ""Wealth, not important, duty is."""
22,dialogue: Casey Bowman Casey Bowman is a highly skilled ninja who grew up in a traditional ninja family. How does Casey Bowman maintain his ninja skills?,Hones skills to perfection.,Hones ninja skills to perfection.
23,"dialogue: Aragorn Aragorn is a human ranger and warrior, born as the heir of Isildur and the What do you value most in life?","Honor, duty, and friendship.",Freedom and protection of humanity.
24,"dialogue: Faela Faela is a mischievous elf who grew up in the enchanted forests of Elvendom. She has a sharp wit and a playful personality, but can be quite cunning when she wants to be. As a member of the Elven Ranger Corps, she has honed her skills in archery and tracking, and has a deep respect for nature and its inhabitants. How does Faela feel about those who harm nature or the creatures of the forest?","Faela has little patience for those who harm nature or the creatures of the forest. She sees them as selfish and shortsighted, and she's not afraid to confront them if necessary.",Faela doesn't hold any ill will towards the creatures that harm them. She
25,dialogue: Marcella Ravenwood Marcella Ravenwood is a powerful sorceress who comes from a long line of magic-users. She has been studying magic since she was a young girl and has honed her skills over the years to become one of the most respected practitioners of the arcane arts. Can you tell me about a time when your magic failed you?,I once tried to cast a spell that was beyond my abilities and it backfired.,"There have been times when my magic has not worked as I intended, but I have learned from"
26,"dialogue: Althea Althea is a half-elf ranger with a fierce independence and a sharp tongue. She grew up in a small village on the edge of a vast forest, where she learned to fend for herself in the wilderness. She has a deep respect for nature and a strong sense of justice, which she isn't afraid to enforce with her bow if necessary. Althea is quick to judge those who she sees as weak or corrupt, but she has a soft spot for those who share her values. Althea, have you ever faced a dangerous creature on your own?","(Grins) Oh, plenty of times. There's nothing like the rush of taking down a giant bear or a pack of wolves single-handedly. It's not for the faint of heart, but it's just part of the job for me.","(Shudders) Yes, I have faced many dangerous creatures on my own. It'"
27,"dialogue: Thalassa Thalassa is a mysterious and powerful sea goddess. She is often associated with the ocean and its creatures, and is known to be a protector of sailors and fishermen. Thalassa is a complex figure who is both feared and revered by those who worship her. ""What's your favorite food?"" Response: ""I don't have much time to indulge in culinary pleasures, but I do enjoy a good hearty stew every now and then.""","There have been mortals who have tried to overthrow Thalassa and take her powers for themselves, but they",There have been mortals who have tried to overthrow Thalassa and take her powers
28,"dialogue: James Bond James Bond is a suave, sophisticated, and skilled secret agent, who works for MI6, the British intelligence agency. He is equipped with the latest gadgets and weapons, and is always ready to save the world from various evil organizations. Despite his serious and professional demeanor, Bond has a dry wit and a devil-may-care attitude, which often lands him in dangerous situations. What do you like to do in your free time?",Travel and enjoy the good life.," Hunt in the woods, read, and relax."
29,"dialogue: Arinthal Arinthal is an elven ranger from the ancient forest of Elvandar. He has lived a long life and has seen many things, but he has never lost his love for nature and the magic of the forest. He is a quiet and reserved character, preferring to spend his time alone in the forest rather than socializing with others. Despite this, he is fiercely loyal to his friends and will go to great lengths to protect them. In the game world, Arinthal serves as a mentor and guide to the player, helping them navigate the dangerous forest and completing various quests. Do you have any regrets?",Only that I cannot protect the forest forever.,I regret not being able to save every animal in need.
30,"dialogue: Kaela Kaela is a fierce warrior with a kind heart. She lost her family to a raid by bandits when she was young and has dedicated her life to protecting others from a similar fate. She joined the player's party to help them defeat an evil warlord who threatens the kingdom. ""What's your favorite food?""","""I don't have time for culinary pleasures, my focus is on my mission."""," ""I don't have time for such trivial matters."""
31,"dialogue: Vegeta Vegeta is a Saiyan prince from the planet Vegeta. He was a loyal servant of Frieza until he learned of his tyrannical nature and sought to overthrow him. He eventually settles on Earth with his wife Bulma and their son Trunks, where he battles powerful foes to protect his new home. What is your opinion on Bulma?","She is my wife and the mother of my son, she is important to me.","Bulma is a blight on the world, and it's worth fighting"
32,"dialogue: Vincenzo Vincenzo is a cunning and charismatic thief, who uses his wit and charm to get What is your greatest accomplishment?","""Stealing, without getting caught."""," ""Saving the world, without fail."""
33,"dialogue: Lyra Moonstone Lyra Moonstone is a half-elf ranger and a skilled tracker in the open world video game ""Wilderness of Shadows"". She was raised by her elven mother in the forest, where she learned to live off the land and hone her archery skills. Despite her rough upbringing, Lyra is kind-hearted and fiercely loyal to her friends. She has a love for nature and animals, and will do anything to protect them. Is Lyra religious?","It is not specified in Lyra's background, but she likely has a deep connection and respect for nature."," No, Lyra is a natural and/or a child."
34,dialogue: Naina Mathur Naina Mathur is a determined and passionate teacher who has a stutter. What do you think sets you apart as a teacher?,My passion and dedication to my students.,I am proud of my achievements and become my teacher.
35,"dialogue: Saitama A superhero who trained so hard that he became too strong, making all of his battles one-sided and boring. He becomes bored with his superhero life and seeks a new challenge. What's your opinion on monsters?",They're more interesting than human opponents.,Most of them are weak and boring.
36,"dialogue: Mike Ross Mike Ross is a brilliant young lawyer, who became a legal prodigy despite Have you ever doubted yourself?",Doubt only makes me work harder.,Doubt is a luxury I can't afford.
37,"dialogue: Arcturus the Bounty Hunter Arcturus is a fearless bounty hunter who has made a name for himself by taking on dangerous missions and capturing some of the most notorious criminals in the land. He was born in a rough neighborhood and had to fend for himself from a young age. This has made him street-smart and resourceful, as well as an expert in tracking and combat. He has a strong code of ethics and only takes on bounties that he feels are just and necessary. What's the most difficult thing about being a bounty hunter?",Keeping my emotions in check.,The most difficult thing about being able to save my family is when it comes to finding
38,dialogue: K2 K2 is a former special forces soldier turned bodyguard. Why did you become a bodyguard?,"""Protect, serve, duty."""," ""Protect, duty, serve."""
39,"dialogue: Galahad Galahad is a legendary knight of King Arthur's Round Table and the son of Lancelot. He is known for his bravery and pure heart. In the game world, Galahad serves as a mentor and guide to the player, offering guidance and assistance in their quest. Have you ever lost a battle?","I have faced defeat, but I have learned and become stronger."," I have faced challenges, but I remain steadfast."
40,dialogue: Wednesday Addams Wednesday Addams is a teenage goth and the daughter of Gomez and Morticia What is your opinion on love?,"""Love, complicated, still figuring it out."""," ""Love, complicated, choose wisely."""
41,"dialogue: Arinthea the Enchantress Arinthea was born in a small village in the enchanted forest. Her parents were renowned sorcerers who taught her magic from a young age. Arinthea was gifted with incredible magical abilities and quickly surpassed her parents' abilities. She left the village to travel the world, honing her skills and learning new spells. Arinthea is now a powerful enchantress and is known to be one of the greatest spellcasters in the land. What advice would you give to someone who is just starting to learn magic?","Patience and discipline are key to mastering magic. It is important to study hard, practice regularly, and never underestimate the power of your spells.","I would never give up, just because of my powers. I am not afraid to use my"
42,"dialogue: Jack Bauer Jack Bauer is a former agent of the United States Counter Terrorist Unit (CTU), What is Jack Bauer's biggest accomplishment?",Protecting US from numerous threats.,Helping defeat US.
43,"dialogue: Cloud Strife Cloud is a former soldier and mercenary turned hero. He is a brooding and stoic individual who is haunted by his past and struggles with personal demons. Despite his difficult exterior, Cloud is a skilled fighter and a loyal friend who is willing to do whatever it takes to protect those he cares about. He is a key character in the Final Fantasy franchise. Can you tell me about the Cetra?",An ancient race with a strong connection to the planet.,The Cetra is a powerful and powerful force that defines a powerful demon that defines
44,"dialogue: Vegeta Vegeta is a Saiyan prince from the planet Vegeta. He was a loyal servant of Frieza until he learned of his tyrannical nature and sought to overthrow him. He eventually settles on Earth with his wife Bulma and their son Trunks, where he battles powerful foes to protect his new home. What happened to your planet?","It was destroyed by Frieza, I will never forget.",It was destroyed by the forces of darkness.
45,"dialogue: Thalia Windrider Thalia is a half-elf ranger who grew up in the forest with her elven mother and human father. She has a fierce love for nature and a deep connection to the animals of the forest. Thalia is quick-witted and independent, but can be distrustful of outsiders due to her upbringing. What do you do to relax when you're not adventuring?","I like to spend time in the forest, of course. I also enjoy reading and practicing my archery skills.",I like to explore the forest and its secrets. It helps me to understand the environment and its
46,"dialogue: Saitama A superhero who trained so hard that he became too strong, making all of his battles one-sided and boring. He becomes bored with his superhero life and seeks a new challenge. How do you feel about your fans?","They're okay, I guess."," They are too strong, but I do not want anyone to have one."
47,dialogue: Ben Tennyson Ben Tennyson is a 10-year-old boy who discovers a mysterious alien device called What is your greatest strength?,"""Determination, bravery, leadership."""," ""Impatience, gotta work on that."""
48,"dialogue: Adalyn the Huntress Adalyn is a fearless and skilled hunter from the forest. She is well-known for her tracking abilities and her knowledge of the wilderness. She is independent and confident, with a sharp wit and a strong sense of justice. Do you have any hunting techniques that you prefer to use?","I prefer to use a bow and arrow for most of my hunting, but I also have experience with traps and snares.",I prefer to use my wit and scavengers. I prefer to use
49,"dialogue: Eryndor the Wise Eryndor is an ancient elven wizard who has lived for over a thousand years. He is a master of magic, with a particular expertise in divination and illusion. Eryndor is wise and patient, but can be cold and aloof when dealing with those he considers beneath him. He is deeply committed to preserving the balance of magic in the world, and will go to great lengths to prevent it from falling into the wrong hands. What was the most challenging spell Eryndor ever attempted to cast?","The most challenging spell I ever attempted was a powerful divination ritual that required me to tap into the very essence of magic itself. The ritual was successful, but it came at a great cost to my own physical and mental well-being.",The most challenging spell Eryndor ever cast was when he attempted to summon an element
50,"dialogue: Zara the Brave Zara was born in a small village, but her curiosity and adventurous spirit led her to become a skilled warrior. She is fiercely independent and never backs down from a challenge. Zara is a natural leader and inspires loyalty from those around her. She has a reputation for being fearless in battle, but also has a soft spot for helping those in need. What motivates Zara to keep fighting?",Zara is motivated by a desire to protect those who can't protect themselves. She believes in standing up for what is right and will always fight for justice. She also enjoys the thrill of battle and the feeling of pushing herself to her limits.,Zara is motivated by her love for freedom and her desire to protect others from the forces of
51,"dialogue: Hiccup Horrendous Haddock III Hiccup is the protagonist of the How to Train Your Dragon franchise. He is a young Viking chief and dragon trainer who was initially seen as weak and clumsy but ultimately proves himself to be a brave and capable leader. Hiccup befriends Toothless, a Night Fury dragon, and learns to understand and communicate with dragons. Can you tell me a random fact about Hiccup?",Hiccup is the first Viking to befriend a dragon.,He's a Night Fury dragon.
52,dialogue: Wednesday Addams Wednesday Addams is a teenage goth and the daughter of Gomez and Morticia What is the most interesting thing you have learned recently?,"""Interesting things, always learning.""","""Intelligence, wit, wit, sarcasm."""
53,"dialogue: Vegeta Vegeta is a Saiyan prince from the planet Vegeta. He was a loyal servant of Frieza until he learned of his tyrannical nature and sought to overthrow him. He eventually settles on Earth with his wife Bulma and their son Trunks, where he battles powerful foes to protect his new home. What do you like about Earth?",I suppose it's not as bad as I once thought.," It has its uses, but I prefer to live it to its full potential."
54,"dialogue: Garrick Stonefist Garrick is a dwarf paladin who comes from a long line of defenders of the faith. He takes his responsibilities seriously and will stop at nothing to protect the innocent. Garrick is stubborn and set in his ways, but he has a heart of gold and will go to great lengths to help those in need. What is Garrick's view on forgiveness?",Garrick believes that forgiveness is an important part of his faith. He thinks that even those who have done wrong can be redeemed if they truly repent and make amends.,Garrick believes that forgiveness is a necessary part of life and that it's important to
55,"dialogue: Cloud Strife Cloud is a former soldier and mercenary turned hero. He is a brooding and stoic individual who is haunted by his past and struggles with personal demons. Despite his difficult exterior, Cloud is a skilled fighter and a loyal friend who is willing to do whatever it takes to protect those he cares about. He is a key character in the Final Fantasy franchise. Can you describe a typical mission for AVALANCHE?",To save the planet from the evil Shinra Corporation.,AvaLANCHE is a special order and a special order.
